method,policy_seed,condition,profile,successes,episodes,success_rate
GRAPH_FULL_PBRS,223,TWO_LOSSES,LONG_CHAIN128,92,128,0.71875
GRAPH_FULL_PBRS,227,A_STARTED,BASE64,120,128,0.9375
GRAPH_FULL_PBRS,227,A_STARTED,LONG_CHAIN128,100,128,0.78125
GRAPH_FULL_PBRS,227,A_VALID_B_LOSS,BASE64,128,128,1.0
GRAPH_FULL_PBRS,227,A_VALID_B_LOSS,LONG_CHAIN128,128,128,1.0
GRAPH_FULL_PBRS,227,B_STARTED,BASE64,120,128,0.9375
GRAPH_FULL_PBRS,227,B_STARTED,LONG_CHAIN128,120,128,0.9375
GRAPH_FULL_PBRS,227,B_VALID_A_LOSS,BASE64,124,128,0.96875
GRAPH_FULL_PBRS,227,B_VALID_A_LOSS,LONG_CHAIN128,124,128,0.96875
GRAPH_FULL_PBRS,227,FREE_ORDER,BASE64,120,128,0.9375
GRAPH_FULL_PBRS,227,FREE_ORDER,LONG_CHAIN128,100,128,0.78125
GRAPH_FULL_PBRS,227,INVALIDATE_FIRST,BASE64,112,128,0.875
GRAPH_FULL_PBRS,227,INVALIDATE_FIRST,LONG_CHAIN128,92,128,0.71875
GRAPH_FULL_PBRS,227,LATE_LOSS,BASE64,112,128,0.875
GRAPH_FULL_PBRS,227,LATE_LOSS,LONG_CHAIN128,92,128,0.71875
GRAPH_FULL_PBRS,227,TWO_LOSSES,BASE64,112,128,0.875
GRAPH_FULL_PBRS,227,TWO_LOSSES,LONG_CHAIN128,96,128,0.75
GRAPH_FULL_PBRS,233,A_STARTED,BASE64,128,128,1.0
GRAPH_FULL_PBRS,233,A_STARTED,LONG_CHAIN128,124,128,0.96875
GRAPH_FULL_PBRS,233,A_VALID_B_LOSS,BASE64,128,128,1.0
GRAPH_FULL_PBRS,233,A_VALID_B_LOSS,LONG_CHAIN128,128,128,1.0
GRAPH_FULL_PBRS,233,B_STARTED,BASE64,124,128,0.96875
GRAPH_FULL_PBRS,233,B_STARTED,LONG_CHAIN128,112,128,0.875
GRAPH_FULL_PBRS,233,B_VALID_A_LOSS,BASE64,108,128,0.84375
GRAPH_FULL_PBRS,233,B_VALID_A_LOSS,LONG_CHAIN128,104,128,0.8125
GRAPH_FULL_PBRS,233,FREE_ORDER,BASE64,124,128,0.96875
GRAPH_FULL_PBRS,233,FREE_ORDER,LONG_CHAIN128,112,128,0.875
GRAPH_FULL_PBRS,233,INVALIDATE_FIRST,BASE64,128,128,1.0
GRAPH_FULL_PBRS,233,INVALIDATE_FIRST,LONG_CHAIN128,120,128,0.9375
GRAPH_FULL_PBRS,233,LATE_LOSS,BASE64,128,128,1.0
GRAPH_FULL_PBRS,233,LATE_LOSS,LONG_CHAIN128,116,128,0.90625
GRAPH_FULL_PBRS,233,TWO_LOSSES,BASE64,104,128,0.8125
GRAPH_FULL_PBRS,233,TWO_LOSSES,LONG_CHAIN128,92,128,0.71875
GRAPH_FULL_PBRS,239,A_STARTED,BASE64,108,128,0.84375
GRAPH_FULL_PBRS,239,A_STARTED,LONG_CHAIN128,72,128,0.5625
GRAPH_FULL_PBRS,239,A_VALID_B_LOSS,BASE64,124,128,0.96875
GRAPH_FULL_PBRS,239,A_VALID_B_LOSS,LONG_CHAIN128,116,128,0.90625
GRAPH_FULL_PBRS,239,B_STARTED,BASE64,120,128,0.9375
GRAPH_FULL_PBRS,239,B_STARTED,LONG_CHAIN128,108,128,0.84375
